"","Gene count","Hyphae mean Expr","Hyphae SD Expr","Spherule mean Expr","Spherule SD Expr"
"All Genes",9905,16.9819530843009,137.443566565944,21.2920296012115,153.586274552152
"Genes w/ TEs < 1kb",2471,7.80677778227438,25.7217523306157,10.1644258599757,32.3611264460246
"Genes w/ TEs < 2.5kb",4266,8.07273579465542,27.0671243309066,10.5810818330989,35.0466287686258
"Genes w/ TEs < 5kb",7318,9.51845996173818,34.4730254547179,11.9113532112599,41.2949036783929
