TE,Saprobic_Hyphae,Parasitic_Spherules,Sph+1,Exp_Sph,Species 
All genes,27.4,33.65,34.65,5.114783447,C.immitis
All genes,1.21,2.48,3.48,1.799087306,C.immitis
All genes,44.97,27.4,28.4,4.827819025,C.immitis
All genes,2.41,8.74,9.74,3.283921772,C.immitis
All genes,3.83,8.05,9.05,3.177917792,C.immitis
All genes,6.23,11.85,12.85,3.683696454,C.immitis
All genes,11.94,21.07,22.07,4.464014725,C.immitis
All genes,71.16,17.73,18.73,4.227278994,C.immitis
All genes,36.43,32.75,33.75,5.076815597,C.immitis
All genes,82.6,126.2,127.2,6.99095486,C.immitis
All genes,16.64,22.09,23.09,4.529196268,C.immitis
All genes,36.85,48.26,49.26,5.622344723,C.immitis
All genes,29.97,26.43,27.43,4.777682717,C.immitis
All genes,50.32,67.6,68.6,6.100136671,C.immitis
All genes,28.63,16.01,17.01,4.088311236,C.immitis
All genes,7.53,8.94,9.94,3.313245852,C.immitis
All genes,613.81,36.07,37.07,5.21218021,C.immitis
All genes,58.15,983.63,984.63,9.943437886,C.immitis
All genes,8.08,8.75,9.75,3.285402219,C.immitis
All genes,20.37,29.53,30.53,4.932155684,C.immitis
All genes,12.39,27.2,28.2,4.817623258,C.immitis
All genes,85.36,193.77,194.77,7.605627669,C.immitis
All genes,34.09,92.64,93.64,6.549053029,C.immitis
All genes,30,62.43,63.43,5.987093437,C.immitis
All genes,9.28,22.71,23.71,4.567423758,C.immitis
All genes,11.11,8.44,9.44,3.23878686,C.immitis
All genes,60.73,76.82,77.82,6.282069075,C.immitis
All genes,40.93,93.81,94.81,6.566967329,C.immitis
All genes,3.1,6.33,7.33,2.873813198,C.immitis
All genes,8.67,40.45,41.45,5.373300197,C.immitis
All genes,22,19.55,20.55,4.361066489,C.immitis
All genes,144.06,178.23,179.23,7.48566833,C.immitis
All genes,4.97,14.11,15.11,3.917431755,C.immitis
All genes,18.84,3.91,4.91,2.295723025,C.immitis
All genes,12.34,45.07,46.07,5.525755693,C.immitis
All genes,80.8,83.8,84.8,6.40599236,C.immitis
All genes,38.46,12.99,13.99,3.806324057,C.immitis
All genes,3.33,4.41,5.41,2.435628594,C.immitis
All genes,0.72,1.26,2.26,1.176322773,C.immitis
All genes,38.67,42.02,43.02,5.42693562,C.immitis
All genes,72.63,37.42,38.42,5.263785614,C.immitis
All genes,171.36,121.71,122.71,6.939109013,C.immitis
All genes,1260.6,443.65,444.65,8.796526375,C.immitis
All genes,7.88,9.7,10.7,3.419538892,C.immitis
All genes,2.99,0.84,1.84,0.879705766,C.immitis
All genes,4.36,13.86,14.86,3.893362211,C.immitis
All genes,3.02,4.64,5.64,2.495695163,C.immitis
All genes,0.57,1.47,2.47,1.304511042,C.immitis
All genes,79.51,87.72,88.72,6.47118746,C.immitis
All genes,121.06,154.68,155.68,7.282439805,C.immitis
All genes,550.5,524.85,525.85,9.038507516,C.immitis
All genes,28.08,39.37,40.37,5.335211682,C.immitis
All genes,49.3,73.22,74.22,6.213736096,C.immitis
All genes,6.48,10.09,11.09,3.47118746,C.immitis
All genes,40.22,38.29,39.29,5.296090263,C.immitis
All genes,18.03,16.21,17.21,4.105175192,C.immitis
All genes,98.08,211.34,212.34,7.730232357,C.immitis
All genes,4.65,6.95,7.95,2.99095486,C.immitis
All genes,24.79,8.19,9.19,3.200064862,C.immitis
All genes,40.34,59.53,60.53,5.919578446,C.immitis
All genes,33.95,25.14,26.14,4.708187236,C.immitis
All genes,188.95,196.47,197.47,7.625489683,C.immitis
All genes,84.51,48.66,49.66,5.634012356,C.immitis
All genes,22.82,12.78,13.78,3.784503983,C.immitis
All genes,1378.36,1001.49,1002.49,9.96937213,C.immitis
All genes,76.05,32.01,33.01,5.044831233,C.immitis
All genes,68.98,47.99,48.99,5.614415387,C.immitis
All genes,140.87,26.73,27.73,4.793375711,C.immitis
All genes,60.55,100.82,101.82,6.66987716,C.immitis
All genes,40.62,69.51,70.51,6.139755975,C.immitis
All genes,2170.64,1620.58,1621.58,10.66318448,C.immitis
All genes,59.42,77.45,78.45,6.293701542,C.immitis
All genes,3.28,11.62,12.62,3.657640005,C.immitis
All genes,23.55,8.45,9.45,3.240314329,C.immitis
All genes,90.17,50.36,51.36,5.682573297,C.immitis
All genes,15.68,9.03,10.03,3.326249701,C.immitis
All genes,60.22,94.52,95.52,6.577730931,C.immitis
All genes,24.31,24.68,25.68,4.682573297,C.immitis
All genes,1.7,3.5,4.5,2.169925001,C.immitis
All genes,52.73,26.14,27.14,4.762348816,C.immitis
All genes,15.49,3.94,4.94,2.304511042,C.immitis
All genes,21.01,10.91,11.91,3.574101508,C.immitis
All genes,113.99,95.85,96.85,6.597680144,C.immitis
All genes,13.31,8.47,9.47,3.243364426,C.immitis
All genes,18.81,11.58,12.58,3.653060017,C.immitis
All genes,809.18,954.71,955.71,9.900429104,C.immitis
All genes,126.55,138.92,139.92,7.128458384,C.immitis
All genes,42.38,45.33,46.33,5.533874777,C.immitis
All genes,72.69,38.23,39.23,5.29388543,C.immitis
All genes,5.52,7.43,8.43,3.075532631,C.immitis
All genes,3.11,5.68,6.68,2.739848103,C.immitis
All genes,76.88,59.8,60.8,5.925999419,C.immitis
All genes,158.9,97.8,98.8,6.626439137,C.immitis
All genes,19.23,17.87,18.87,4.238022518,C.immitis
All genes,1222.46,920.17,921.17,9.847323617,C.immitis
All genes,258.54,262.99,263.99,8.044339471,C.immitis
All genes,1.49,2.69,3.69,1.883620816,C.immitis
All genes,16.61,22.72,23.72,4.568032105,C.immitis
All genes,14.54,18.52,19.52,4.286881148,C.immitis
All genes,12.95,57.66,58.66,5.874305166,C.immitis
All genes,4.27,5.85,6.85,2.776103988,C.immitis
All genes,26.55,36.28,37.28,5.220329955,C.immitis
All genes,10.3,23.66,24.66,4.624100895,C.immitis
All genes,148.88,39.57,40.57,5.342341397,C.immitis
All genes,0.87,0.76,1.76,0.815575429,C.immitis
All genes,132.04,86.27,87.27,6.447413892,C.immitis
All genes,3.83,5.99,6.99,2.805292456,C.immitis
All genes,7.6,20.46,21.46,4.423578171,C.immitis
All genes,577.58,231.55,232.55,7.86139713,C.immitis
All genes,30.6,32.07,33.07,5.04745114,C.immitis
All genes,28.81,37,38,5.247927513,C.immitis
All genes,79.74,88.07,89.07,6.476867689,C.immitis
All genes,64.85,32.52,33.52,5.066950244,C.immitis
All genes,95.61,98.85,99.85,6.641690523,C.immitis
All genes,3.78,11.1,12.1,3.596935142,C.immitis
All genes,43.91,3.54,4.54,2.182692298,C.immitis
All genes,15.77,11.54,12.54,3.648465443,C.immitis
All genes,19.07,6.71,7.71,2.94673086,C.immitis
All genes,3.1,2.37,3.37,1.752748591,C.immitis
All genes,40.94,9.4,10.4,3.378511623,C.immitis
All genes,14.62,15.81,16.81,4.071247819,C.immitis
All genes,90.92,73.66,74.66,6.222263604,C.immitis
All genes,8.63,8.04,9.04,3.176322773,C.immitis
All genes,18.04,23.75,24.75,4.62935662,C.immitis
All genes,97.53,68.88,69.88,6.126807703,C.immitis
All genes,354.05,273.04,274.04,8.09824268,C.immitis
All genes,39.22,35.13,36.13,5.17512535,C.immitis
All genes,146.93,59.09,60.09,5.909053017,C.immitis
All genes,49.58,106.11,107.11,6.742949369,C.immitis
All genes,27.94,16.6,17.6,4.137503524,C.immitis
All genes,3.45,5.37,6.37,2.671293372,C.immitis
All genes,13.78,9.05,10.05,3.329123596,C.immitis
All genes,98.89,95.1,96.1,6.586464526,C.immitis
All genes,11.78,7.55,8.55,3.09592442,C.immitis
All genes,109.65,161.19,162.19,7.341541061,C.immitis
All genes,28.85,22.08,23.08,4.528571319,C.immitis
All genes,9.59,76.74,77.74,6.280585203,C.immitis
All genes,1826.14,2574.34,2575.34,11.3305472,C.immitis
All genes,28.67,14.44,15.44,3.948600847,C.immitis
All genes,254.13,173.91,174.91,7.450468964,C.immitis
All genes,67.38,91.54,92.54,6.532005194,C.immitis
All genes,20.31,8.17,9.17,3.196921734,C.immitis
All genes,41.12,18.02,19.02,4.249445341,C.immitis
All genes,18.26,4.88,5.88,2.555816155,C.immitis
All genes,41.72,46.79,47.79,5.578636862,C.immitis
All genes,37.8,64.56,65.56,6.034743949,C.immitis
All genes,424.45,369.59,370.59,8.533680142,C.immitis
All genes,7.65,10.65,11.65,3.54225805,C.immitis
All genes,5.11,3.33,4.33,2.114367025,C.immitis
All genes,27.7,20.25,21.25,4.409390936,C.immitis
All genes,5.86,3.37,4.37,2.12763328,C.immitis
All genes,509.77,313.03,314.03,8.294758579,C.immitis
All genes,124.18,168.53,169.53,7.405396785,C.immitis
All genes,132.99,70.6,71.6,6.161887682,C.immitis
All genes,59.28,54.1,55.1,5.783980414,C.immitis
All genes,60.51,75.92,76.92,6.265286858,C.immitis
All genes,117.75,87.12,88.12,6.46139759,C.immitis
All genes,106.39,82.65,83.65,6.386293635,C.immitis
All genes,757.45,390.97,391.97,8.61459943,C.immitis
All genes,40.58,13.3,14.3,3.837943242,C.immitis
All genes,35.24,35.53,36.53,5.191009849,C.immitis
All genes,2.73,4.38,5.38,2.427606173,C.immitis
All genes,441.74,296.04,297.04,8.21451341,C.immitis
All genes,5.75,3.98,4.98,2.316145742,C.immitis
All genes,79.66,72.73,73.73,6.204179852,C.immitis
All genes,14.68,4.55,5.55,2.472487771,C.immitis
All genes,3.68,3.82,4.82,2.269033146,C.immitis
All genes,35.72,24.67,25.67,4.682011391,C.immitis
All genes,3.63,6.72,7.72,2.948600847,C.immitis
All genes,23.79,58.75,59.75,5.900866808,C.immitis
All genes,44.42,25.08,26.08,4.704871964,C.immitis
All genes,29.17,5.02,6.02,2.589763487,C.immitis
All genes,227.32,242.2,243.2,7.925999419,C.immitis
All genes,25.78,44.29,45.29,5.501120634,C.immitis
All genes,5.69,2.97,3.97,1.989139007,C.immitis
All genes,25.4,25.55,26.55,4.730639956,C.immitis
All genes,20.05,26.97,27.97,4.805808349,C.immitis
All genes,10.35,21.98,22.98,4.522306893,C.immitis
All genes,55.87,41.75,42.75,5.417852515,C.immitis
All genes,47.37,60.61,61.61,5.945092631,C.immitis
All genes,26.26,22.32,23.32,4.543495883,C.immitis
All genes,90.7,79.4,80.4,6.329123596,C.immitis
All genes,54.47,52.53,53.53,5.742275748,C.immitis
All genes,5.01,7.18,8.18,3.032100843,C.immitis
All genes,35.59,27.64,28.64,4.839959587,C.immitis
All genes,32.25,37.38,38.38,5.262282806,C.immitis
All genes,41.51,39.61,40.61,5.343763122,C.immitis
All genes,3.19,6.4,7.4,2.887525271,C.immitis
All genes,10.97,9.08,10.08,3.333423734,C.immitis
All genes,17.65,1.27,2.27,1.182692298,C.immitis
All genes,180.81,15.88,16.88,4.077242999,C.immitis
All genes,14.48,14.33,15.33,3.938285792,C.immitis
All genes,38.1,47.34,48.34,5.595145568,C.immitis
All genes,6.61,13.6,14.6,3.867896464,C.immitis
All genes,6.93,2.17,3.17,1.66448284,C.immitis
All genes,176.34,386.19,387.19,8.596897882,C.immitis
All genes,17.16,10.17,11.17,3.481557281,C.immitis
All genes,44.53,34.64,35.64,5.155425432,C.immitis
All genes,3.71,2.38,3.38,1.757023247,C.immitis
All genes,146.46,41.21,42.21,5.399512924,C.immitis
All genes,16.54,6.86,7.86,2.974529312,C.immitis
All genes,89.1,134.9,135.9,7.086401646,C.immitis
All genes,48.86,39.95,40.95,5.355791547,C.immitis
All genes,38.97,62.29,63.29,5.983905663,C.immitis
All genes,26.36,3.62,4.62,2.207892852,C.immitis
All genes,1.05,1.5,2.5,1.321928095,C.immitis
All genes,14.89,2.72,3.72,1.895302621,C.immitis
All genes,2.26,1.04,2.04,1.028569152,C.immitis
All genes,6.51,6.29,7.29,2.865918815,C.immitis
All genes,257.6,203.52,204.52,7.676098121,C.immitis
All genes,12.97,17.56,18.56,4.214124805,C.immitis
All genes,28.98,39.92,40.92,5.35473424,C.immitis
All genes,14.95,11.96,12.96,3.695993813,C.immitis
All genes,65.06,64.69,65.69,6.03760186,C.immitis
All genes,23.44,14.31,15.31,3.936402378,C.immitis
All genes,56.26,39.67,40.67,5.345893086,C.immitis
All genes,83.82,74.5,75.5,6.238404739,C.immitis
All genes,15.76,6.38,7.38,2.883620816,C.immitis
All genes,94.07,127.65,128.65,7.007307647,C.immitis
All genes,5.24,3.77,4.77,2.253989266,C.immitis
All genes,30.19,19.53,20.53,4.359661722,C.immitis
All genes,17.75,9.66,10.66,3.414135533,C.immitis
All genes,1.73,1.12,2.12,1.084064265,C.immitis
All genes,3.61,5.4,6.4,2.678071905,C.immitis
All genes,44.48,21.47,22.47,4.489928219,C.immitis
All genes,50.68,37.36,38.36,5.261530815,C.immitis
All genes,56.14,67.38,68.38,6.095502518,C.immitis
All genes,3.95,11.25,12.25,3.614709844,C.immitis
All genes,0.7,1.67,2.67,1.416839742,C.immitis
All genes,28.47,18.88,19.88,4.313245852,C.immitis
All genes,17.88,13.32,14.32,3.839959587,C.immitis
All genes,25.03,11.61,12.61,3.656496371,C.immitis
All genes,96.29,48.72,49.72,5.635754391,C.immitis
All genes,58.72,40.99,41.99,5.391973883,C.immitis
All genes,13.49,16.97,17.97,4.167518504,C.immitis
All genes,43.79,38.58,39.58,5.306699707,C.immitis
All genes,178.44,177.07,178.07,7.476300671,C.immitis
All genes,231.14,336.67,337.67,8.3994702,C.immitis
All genes,10.77,10.42,11.42,3.513490746,C.immitis
All genes,42.96,37.06,38.06,5.250203656,C.immitis
All genes,100.25,109.73,110.73,6.790902333,C.immitis
All genes,2.21,9.62,10.62,3.408711861,C.immitis
All genes,58.14,71.47,72.47,6.179311989,C.immitis
All genes,141.57,95.19,96.19,6.587815013,C.immitis
All genes,60.7,87.94,88.94,6.4747605,C.immitis
All genes,20.25,5.18,6.18,2.627606838,C.immitis
All genes,71.84,65.89,66.89,6.06371864,C.immitis
All genes,429.32,204.46,205.46,7.68271374,C.immitis
All genes,54.1,89.19,90.19,6.494895575,C.immitis
All genes,1307.58,1230.54,1231.54,10.26624777,C.immitis
All genes,59.92,34.69,35.69,5.157447996,C.immitis
All genes,8.69,18.11,19.11,4.256255873,C.immitis
All genes,307.65,283.56,284.56,8.152589069,C.immitis
All genes,42.14,34.74,35.74,5.159467729,C.immitis
All genes,393.05,384.96,385.96,8.592307527,C.immitis
All genes,44.4,25.33,26.33,4.718635616,C.immitis
All genes,15,12.52,13.52,3.757023247,C.immitis
All genes,16.22,17.5,18.5,4.209453366,C.immitis
All genes,68.6,95.85,96.85,6.597680144,C.immitis
All genes,30.73,21.69,22.69,4.503984704,C.immitis
All genes,26.28,26.88,27.88,4.801158656,C.immitis
All genes,87.18,49.07,50.07,5.64587455,C.immitis
All genes,56.94,74.77,75.77,6.243554843,C.immitis
All genes,50.9,120.09,121.09,6.919935917,C.immitis
All genes,44.74,60.18,61.18,5.934988202,C.immitis
All genes,56.49,32.62,33.62,5.071247819,C.immitis
All genes,13.94,15.07,16.07,4.006298024,C.immitis
All genes,71.2,77.63,78.63,6.297007949,C.immitis
All genes,252.18,251.97,252.97,7.982822494,C.immitis
All genes,16.24,19.41,20.41,4.351204277,C.immitis
All genes,36.11,26.2,27.2,4.765534746,C.immitis
All genes,100.1,61.87,62.87,5.974299858,C.immitis
All genes,244.86,330.25,331.25,8.371776644,C.immitis
All genes,65.72,38.22,39.22,5.29351763,C.immitis
All genes,57.02,25.18,26.18,4.710393192,C.immitis
All genes,1278.95,713.8,714.8,9.481395824,C.immitis
All genes,74.01,88.56,89.56,6.484782623,C.immitis
All genes,77.02,37.17,38.17,5.254367281,C.immitis
All genes,84.9,61.33,62.33,5.961854808,C.immitis
All genes,68.59,34.12,35.12,5.13422094,C.immitis
All genes,17.8,18.5,19.5,4.285402219,C.immitis
All genes,10.79,14.05,15.05,3.911691582,C.immitis
All genes,40.67,105.14,106.14,6.729824644,C.immitis
All genes,218.15,15.97,16.97,4.08491466,C.immitis
All genes,13.88,7.47,8.47,3.08236197,C.immitis
All genes,22.81,6.46,7.46,2.89917563,C.immitis
All genes,297.38,182.84,183.84,7.522306893,C.immitis
All genes,50.55,135.44,136.44,7.09212285,C.immitis
All genes,19.52,30.97,31.97,4.998646839,C.immitis
All genes,64.51,89.13,90.13,6.493935486,C.immitis
All genes,17.06,11.97,12.97,3.697106574,C.immitis
All genes,67.85,19.87,20.87,4.383358695,C.immitis
All genes,40.41,39.69,40.69,5.346602375,C.immitis
All genes,171.97,901.48,902.48,9.81775115,C.immitis
All genes,989.23,260.96,261.96,8.033202726,C.immitis
All genes,49.92,43.17,44.17,5.464994927,C.immitis
All genes,0,0,1,0,C.immitis
All genes,13.19,6.16,7.16,2.839959587,C.immitis
All genes,628.79,3348.69,3349.69,11.70981187,C.immitis
All genes,2.66,9.57,10.57,3.401903472,C.immitis
All genes,62.64,58.9,59.9,5.904484098,C.immitis
All genes,24.15,20.36,21.36,4.416839742,C.immitis
All genes,5.18,6.84,7.84,2.970853654,C.immitis
All genes,6.37,5.91,6.91,2.788685711,C.immitis
All genes,35.75,23.45,24.45,4.61176256,C.immitis
All genes,49.43,200.65,201.65,7.655709596,C.immitis
All genes,90.39,96.7,97.7,6.610286657,C.immitis
All genes,543.4,384.87,385.87,8.591971074,C.immitis
All genes,23.57,47.24,48.24,5.592158002,C.immitis
All genes,1055.2,942.16,943.16,9.881358724,C.immitis
All genes,54.68,79.73,80.73,6.335032987,C.immitis
All genes,4.41,10.51,11.51,3.524815928,C.immitis
All genes,25.24,214.37,215.37,7.750673493,C.immitis
All genes,19.8,26.29,27.29,4.770300489,C.immitis
All genes,119.52,94.36,95.36,6.575312331,C.immitis
All genes,19.58,34.66,35.66,5.156234798,C.immitis
All genes,265.07,2124.66,2125.66,11.05369514,C.immitis
All genes,27.07,126.59,127.59,6.995371451,C.immitis
All genes,35.63,56.73,57.73,5.85124932,C.immitis
All genes,17.57,11.88,12.88,3.687060688,C.immitis
All genes,31.19,33.59,34.59,5.112283109,C.immitis
All genes,45.83,52.57,53.57,5.743353391,C.immitis
All genes,48.55,38.89,39.89,5.317955218,C.immitis
All genes,58.97,95.44,96.44,6.591559746,C.immitis
All genes,796.47,699.88,700.88,9.453023647,C.immitis
All genes,102.8,119.55,120.55,6.913487841,C.immitis
All genes,12.59,15.91,16.91,4.079804755,C.immitis
All genes,69.7,81.38,82.38,6.364222221,C.immitis
All genes,34.07,127.17,128.17,7.001914808,C.immitis
All genes,34.22,41.66,42.66,5.414812061,C.immitis
All genes,175.84,418.93,419.93,8.714005048,C.immitis
All genes,21.07,5.3,6.3,2.655351829,C.immitis
All genes,22.05,6.14,7.14,2.835924074,C.immitis
All genes,26.98,62.48,63.48,5.988230223,C.immitis
All genes,22.26,24.83,25.83,4.690975738,C.immitis
All genes,3.98,2.49,3.49,1.803227036,C.immitis
All genes,103.68,81.5,82.5,6.366322214,C.immitis
All genes,57.9,58.9,59.9,5.904484098,C.immitis
All genes,16.68,30.57,31.57,4.980482356,C.immitis
All genes,6.23,3.4,4.4,2.137503524,C.immitis
All genes,9.48,4.42,5.42,2.438292852,C.immitis
All genes,10.96,13.08,14.08,3.815575429,C.immitis
All genes,15.17,24.23,25.23,4.657068301,C.immitis
All genes,14.2,12.82,13.82,3.788685711,C.immitis
All genes,33.44,25.72,26.72,4.739848103,C.immitis
All genes,39.74,77.56,78.56,6.295723025,C.immitis
All genes,83.64,95.39,96.39,6.590811576,C.immitis
All genes,54.83,32.01,33.01,5.044831233,C.immitis
All genes,11.36,13.89,14.89,3.896271849,C.immitis
All genes,136.36,135.78,136.78,7.095713484,C.immitis
All genes,16.69,28.26,29.26,4.870857864,C.immitis
All genes,119.58,115.42,116.42,6.863195112,C.immitis
All genes,4.2,11.7,12.7,3.666756592,C.immitis
All genes,2.44,2.66,3.66,1.871843649,C.immitis
All genes,45.14,8.96,9.96,3.316145742,C.immitis
All genes,15.33,13.52,14.52,3.859969548,C.immitis
All genes,6.33,9.17,10.17,3.346247774,C.immitis
All genes,0,0,1,0,C.immitis
All genes,46.17,152.91,153.91,7.265943161,C.immitis
All genes,168.93,90.63,91.63,6.517748114,C.immitis
All genes,100.98,22.71,23.71,4.567423758,C.immitis
All genes,88.69,51.91,52.91,5.725468513,C.immitis
All genes,202.41,164.02,165.02,7.366497076,C.immitis
All genes,69.54,26.25,27.25,4.768184325,C.immitis
All genes,73.02,11.45,12.45,3.638073837,C.immitis
All genes,5.82,14.22,15.22,3.927896454,C.immitis
All genes,3.42,9.14,10.14,3.341985747,C.immitis
All genes,15.1,22.26,23.26,4.539779192,C.immitis
All genes,27.62,25.14,26.14,4.708187236,C.immitis
All genes,61.42,138.57,139.57,7.124845063,C.immitis
All genes,69.41,162.46,163.46,7.352793829,C.immitis
All genes,70.02,87.44,88.44,6.46662712,C.immitis
All genes,38.05,40.45,41.45,5.373300197,C.immitis
All genes,82.28,186.27,187.27,7.548975993,C.immitis
All genes,271.58,613.87,614.87,9.264137608,C.immitis
All genes,55.71,49.7,50.7,5.663913842,C.immitis
All genes,18.15,38.72,39.72,5.311793718,C.immitis
All genes,41.25,75.36,76.36,6.254745198,C.immitis
All genes,391.4,251.84,252.84,7.98208091,C.immitis
All genes,22.63,15.17,16.17,4.015247774,C.immitis
All genes,1.55,6.02,7.02,2.811471031,C.immitis
All genes,14.45,7.99,8.99,3.168321116,C.immitis
All genes,37,15.21,16.21,4.018812186,C.immitis
All genes,5.37,7.04,8.04,3.007195501,C.immitis
All genes,89.63,102.76,103.76,6.697106574,C.immitis
All genes,113.97,30.14,31.14,4.960697039,C.immitis
All genes,3.17,14.96,15.96,3.996388746,C.immitis
All genes,45.45,71.24,72.24,6.174725988,C.immitis
All genes,82.28,37.87,38.87,5.280585203,C.immitis
All genes,8.54,9.56,10.56,3.40053793,C.immitis
All genes,46.08,56.15,57.15,5.836681593,C.immitis
All genes,63.84,122.06,123.06,6.943218087,C.immitis
All genes,26.39,3.01,4.01,2.003602237,C.immitis
All genes,18.12,51.91,52.91,5.725468513,C.immitis
All genes,165.26,12.89,13.89,3.795974694,C.immitis
All genes,1.52,1.98,2.98,1.575312331,C.immitis
All genes,140.73,73.79,74.79,6.224773478,C.immitis
All genes,12.05,37.74,38.74,5.275752049,C.immitis
All genes,47.55,15.26,16.26,4.023255352,C.immitis
All genes,70.52,122.53,123.53,6.948717641,C.immitis
All genes,48.78,48.99,49.99,5.643567622,C.immitis
All genes,150.98,13.3,14.3,3.837943242,C.immitis
All genes,165.21,80.96,81.96,6.356848079,C.immitis
All genes,1.57,4.15,5.15,2.364572432,C.immitis
All genes,146.74,133.31,134.31,7.069422914,C.immitis
All genes,25,33.3,34.3,5.100136671,C.immitis
All genes,5.84,7.55,8.55,3.09592442,C.immitis
All genes,25.97,8.78,9.78,3.289834465,C.immitis
All genes,64.12,64.41,65.41,6.031439309,C.immitis
All genes,12.74,22.91,23.91,4.579542225,C.immitis
All genes,101.64,20.6,21.6,4.432959407,C.immitis
All genes,24.49,5.64,6.64,2.731183242,C.immitis
All genes,40.73,11.15,12.15,3.602884409,C.immitis
All genes,5.28,2.5,3.5,1.807354922,C.immitis
All genes,2.1,1.49,2.49,1.316145742,C.immitis
All genes,65.05,57.87,58.87,5.879460723,C.immitis
All genes,1475.55,962.41,963.41,9.912006089,C.immitis
All genes,38.73,12.96,13.96,3.803227036,C.immitis
All genes,72.28,33.99,34.99,5.128870759,C.immitis
All genes,1.69,3.07,4.07,2.025028794,C.immitis
All genes,5.94,2.96,3.96,1.98550043,C.immitis
All genes,14.24,11.92,12.92,3.691534165,C.immitis
All genes,53.12,48.65,49.65,5.633721813,C.immitis
All genes,23.5,5.31,6.31,2.657640005,C.immitis
All genes,166.98,233.95,234.95,7.876209958,C.immitis
All genes,59.91,17.99,18.99,4.247168,C.immitis
All genes,50.23,5.89,6.89,2.784503983,C.immitis
All genes,1010.27,719.4,720.4,9.492654371,C.immitis
All genes,138.48,93.56,94.56,6.56315813,C.immitis
All genes,46.16,15.27,16.27,4.024142346,C.immitis
All genes,2.2,7.48,8.48,3.084064265,C.immitis
All genes,1.3,3.52,4.52,2.176322773,C.immitis
All genes,9.92,5.16,6.16,2.622930351,C.immitis
All genes,15.39,7.25,8.25,3.044394119,C.immitis
All genes,16.52,4.68,5.68,2.50589093,C.immitis
All genes,53.6,43.31,44.31,5.469560422,C.immitis
All genes,2.47,5.86,6.86,2.778208576,C.immitis
All genes,86.74,92.27,93.27,6.543341212,C.immitis
All genes,1.34,2.83,3.83,1.937344392,C.immitis
All genes,17.17,31.03,32.03,5.001351893,C.immitis
All genes,10.05,2.03,3.03,1.599317794,C.immitis
All genes,27.56,56.85,57.85,5.854245054,C.immitis
All genes,49.51,50.74,51.74,5.693208149,C.immitis
All genes,28.46,102.74,103.74,6.696828465,C.immitis
All genes,30.61,40.85,41.85,5.387155718,C.immitis
All genes,15.62,21.86,22.86,4.514753498,C.immitis
All genes,30.9,34.58,35.58,5.152994605,C.immitis
All genes,112.61,151.68,152.68,7.254367281,C.immitis
All genes,105.16,106.47,107.47,6.747790181,C.immitis
All genes,58.97,61.35,62.35,5.962317655,C.immitis
All genes,1147.95,846.99,847.99,9.727903442,C.immitis
All genes,32.32,19.45,20.45,4.354028938,C.immitis
All genes,2.48,12.73,13.73,3.77925972,C.immitis
All genes,0.78,6.58,7.58,2.922197848,C.immitis
All genes,6.43,6.82,7.82,2.967168608,C.immitis
All genes,57.22,88.06,89.06,6.476705707,C.immitis
All genes,30.86,29.28,30.28,4.9202933,C.immitis
All genes,575,1183.63,1184.63,10.21022081,C.immitis
All genes,500.83,480.82,481.82,8.91235047,C.immitis
All genes,135.61,104.43,105.43,6.720141633,C.immitis
All genes,22.29,25.31,26.31,4.717539343,C.immitis
All genes,68.89,50.1,51.1,5.675251386,C.immitis
All genes,1.66,3.41,4.41,2.140778656,C.immitis
All genes,101.97,260.69,261.69,8.031714985,C.immitis
All genes,29.29,41.96,42.96,5.424922088,C.immitis
All genes,8.55,6.27,7.27,2.861955364,C.immitis
All genes,9.86,9.53,10.53,3.396433531,C.immitis
All genes,397.85,1675.22,1676.22,10.7109958,C.immitis
All genes,151.38,302.21,303.21,8.244173525,C.immitis
All genes,12.21,18.08,19.08,4.253989266,C.immitis
All genes,166.8,271.64,272.64,8.09085343,C.immitis
All genes,36.62,12.19,13.19,3.721372659,C.immitis
All genes,205.07,242.69,243.69,7.92890324,C.immitis
All genes,63.08,81.87,82.87,6.372778017,C.immitis
All genes,8.35,13.81,14.81,3.888499736,C.immitis
All genes,55.15,74.53,75.53,6.238977882,C.immitis
All genes,7.75,21.31,22.31,4.479618608,C.immitis
All genes,149.47,177.9,178.9,7.483009577,C.immitis
All genes,68.62,50.89,51.89,5.697384631,C.immitis
All genes,31.8,24.95,25.95,4.697662633,C.immitis
All genes,62.19,31.2,32.2,5.008988783,C.immitis
All genes,16.86,11.53,12.53,3.64731451,C.immitis
All genes,12.27,13.27,14.27,3.83491343,C.immitis
All genes,31.25,30.06,31.06,4.956985925,C.immitis
All genes,4.71,2.65,3.65,1.867896464,C.immitis
All genes,2.03,3.44,4.44,2.150559677,C.immitis
All genes,1433.79,1049.28,1050.28,10.03655828,C.immitis
All genes,22.17,13.4,14.4,3.847996907,C.immitis
All genes,22.26,48.73,49.73,5.636044526,C.immitis
All genes,4.53,12.52,13.52,3.757023247,C.immitis
All genes,392.35,591.91,592.91,9.211669319,C.immitis
All genes,2.66,3.91,4.91,2.295723025,C.immitis
All genes,82.05,65.62,66.62,6.057883449,C.immitis
All genes,4.38,5.99,6.99,2.805292456,C.immitis
All genes,3.9,17.78,18.78,4.231125158,C.immitis
All genes,5.76,7.36,8.36,3.063502942,C.immitis
All genes,24.28,17.68,18.68,4.22342255,C.immitis
All genes,0.2,2.23,3.23,1.691534165,C.immitis
